"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.394971535E0,-4.257800102E0,2.164279938E1,-4.524979782E1,5.033968444E1
2.404981952E0,-5.014199734E0,2.156959915E1,-4.609159851E1,5.113536213E1
2.414969094E0,-4.782400131E0,2.084980011E1,-4.533519745E1,5.012849133E1
2.424981587E0,-5.184999943E0,2.121579933E1,-4.587199783E1,5.080585154E1
2.434981709E0,-4.697000027E0,2.103279877E1,-4.598180008E1,5.078155543E1
2.444973408E0,-4.660399914E0,2.195999908E1,-4.578659821E1,5.099385710E1
2.454982523E0,-5.184999943E0,2.116699982E1,-4.629899979E1,5.117151050E1
2.464993795E0,-4.928800106E0,2.167939949E1,-4.534740067E1,5.050421943E1
2.474968770E0,-5.001999855E0,2.133779907E1,-4.661619949E1,5.151108354E1
2.484982565E0,-5.075200081E0,2.100839996E1,-4.543280029E1,5.031152818E1
2.494969503E0,-4.684800148E0,2.080099869E1,-4.533519745E1,5.009899227E1
2.504981995E0,-4.989799976E0,2.120359993E1,-4.448119736E1,4.952845316E1
2.514981589E0,-4.794600010E0,2.111820030E1,-4.565240097E1,5.052829195E1
2.524957867E0,-4.684800148E0,2.082539940E1,-4.522539902E1,5.000981233E1
2.534963726E0,-4.794600010E0,2.102059937E1,-4.544499969E1,5.030011714E1
2.544963727E0,-4.757999897E0,2.044719887E1,-4.575000000E1,5.033675600E1
2.554963890E0,-4.782400131E0,2.073999977E1,-4.554259872E1,5.027073940E1
2.564963809E0,-4.867799759E0,2.050819969E1,-4.564019775E1,5.027235204E1
2.574963768E0,-4.782400131E0,2.083759880E1,-4.522539902E1,5.002413009E1
2.584963606E0,-4.806799889E0,2.121579933E1,-4.533519745E1,5.028414854E1
2.594963647E0,-5.197199821E0,2.152079964E1,-4.555479813E1,5.064973184E1
2.604963769E0,-4.904399872E0,2.130119896E1,-4.533519745E1,5.032965669E1
2.614963850E0,-5.441199780E0,2.093519974E1,-4.510339737E1,5.002205211E1
2.624973860E0,-5.465600014E0,2.133779907E1,-4.554259872E1,5.058955180E1
2.635004500E0,-5.001999855E0,2.144759941E1,-4.533519745E1,5.040138541E1
2.644982731E0,-4.806799889E0,2.120359993E1,-4.683580017E1,5.163613224E1
2.654954371E0,-4.794600010E0,2.092300034E1,-4.576219940E1,5.054640468E1
2.664982162E0,-5.258199692E0,2.088640022E1,-4.617699814E1,5.095297376E1
2.674982244E0,-5.526599884E0,2.072780037E1,-4.564019775E1,5.043027529E1
2.684981756E0,-5.221600056E0,2.191119957E1,-4.631119919E1,5.149847516E1
2.694981878E0,-5.124000072E0,2.198439980E1,-4.492039871E1,5.027336702E1
2.704986354E0,-4.916599751E0,2.141099930E1,-4.598180008E1,5.096008028E1
2.714982123E0,-5.001999855E0,2.132559967E1,-4.587199783E1,5.083346721E1
2.724982082E0,-4.623799801E0,2.133779907E1,-4.566460037E1,5.061557982E1
2.734981838E0,-4.611599922E0,2.115480042E1,-4.479840088E1,4.975629765E1
2.744982001E0,-5.062999725E0,2.080099869E1,-4.489599991E1,4.973898190E1
2.754977933E0,-5.087399960E0,2.119140053E1,-4.607939911E1,5.097320980E1
2.764981758E0,-5.282599926E0,2.126459885E1,-4.533519745E1,5.035244933E1
2.774981839E0,-4.550600052E0,2.008119965E1,-4.521319962E1,4.968094161E1
2.784981636E0,-5.184999943E0,2.119140053E1,-4.554259872E1,5.049839581E1
2.794969430E0,-5.184999943E0,2.121579933E1,-4.554259872E1,5.050863950E1
2.804970284E0,-4.977600098E0,2.100839996E1,-4.511560059E1,5.001546549E1
2.814969104E0,-5.477799892E0,2.150860023E1,-4.576219940E1,5.086064362E1
2.824968983E0,-4.904399872E0,2.131340027E1,-4.522539902E1,5.023595212E1
2.834968454E0,-5.245999813E0,2.065460014E1,-4.553039932E1,5.027076967E1
2.844968007E0,-5.160599709E0,2.083759880E1,-4.500579834E1,4.986340539E1
2.854968739E0,-4.965399742E0,2.081320000E1,-4.554259872E1,5.031871210E1
2.864981842E0,-4.245599747E0,2.142319870E1,-4.503020096E1,5.004695353E1
2.874982045E0,-5.441199780E0,2.080099869E1,-4.564019775E1,5.045112340E1
2.884970978E0,-4.697000027E0,2.100839996E1,-4.576219940E1,5.057265637E1
2.894982209E0,-4.880000114E0,2.082539940E1,-4.576219940E1,5.051426091E1
2.904969392E0,-5.050799847E0,2.058139992E1,-4.521319962E1,4.993333577E1
2.914981965E0,-5.172800064E0,2.106939888E1,-4.650639725E1,5.131785668E1
2.924982047E0,-5.245999813E0,2.065460014E1,-4.639659882E1,5.105660979E1
2.934967561E0,-4.977600098E0,2.100839996E1,-4.522539902E1,5.011452971E1
2.944981966E0,-5.270400047E0,2.108160019E1,-4.585979843E1,5.074772995E1
2.954957552E0,-4.770199776E0,2.059359932E1,-4.565240097E1,5.030897388E1
2.964982088E0,-5.111799717E0,2.156959915E1,-4.533519745E1,5.046442541E1
2.974982251E0,-5.075200081E0,2.097179985E1,-4.585979843E1,5.068229629E1
2.984964551E0,-5.184999943E0,2.116699982E1,-4.596960068E1,5.087366993E1
2.994981926E0,-5.551000118E0,2.103279877E1,-4.500579834E1,4.998713945E1
3.004970045E0,-4.635999680E0,2.159399986E1,-4.512779999E1,5.024252835E1
3.014968581E0,-4.465199947E0,2.186240005E1,-4.460319901E1,4.987331860E1
3.024967645E0,-4.513999939E0,2.105719948E1,-4.533519745E1,5.019025775E1
3.034989699E0,-4.623799801E0,2.126459885E1,-4.512779999E1,5.010070878E1
3.044963698E0,-4.745800018E0,2.183799934E1,-4.492039871E1,5.017233355E1
3.054963699E0,-5.355799675E0,2.097179985E1,-4.478619766E1,4.974238113E1
3.064962600E0,-5.368000031E0,2.116699982E1,-4.575000000E1,5.069437647E1
3.074963618E0,-5.294799805E0,2.158180046E1,-4.512779999E1,5.030235927E1
3.084958572E0,-4.306600094E0,2.071559906E1,-4.544499969E1,5.012914168E1
3.094963862E0,-5.282599926E0,2.126459885E1,-4.543280029E1,5.044034465E1
3.104963578E0,-5.087399960E0,2.109379959E1,-4.587199783E1,5.074514957E1
3.114953365E0,-5.282599926E0,2.135000038E1,-4.522539902E1,5.028981104E1
3.124977128E0,-5.343599796E0,2.077659988E1,-4.585979843E1,5.062946053E1
3.134981645E0,-4.989799976E0,2.108160019E1,-4.533519745E1,5.024551819E1
3.144982011E0,-5.184999943E0,2.139879990E1,-4.533519745E1,5.039913679E1
3.154969072E0,-5.270400047E0,2.100839996E1,-4.628680038E1,5.110379512E1
3.164981646E0,-5.172800064E0,2.106939888E1,-4.533519745E1,5.025890525E1
3.174981972E0,-5.209399700E0,2.176479912E1,-4.512779999E1,5.037224094E1
3.184966550E0,-5.087399960E0,2.119140053E1,-4.565240097E1,5.058753610E1
3.194981891E0,-5.001999855E0,2.132559967E1,-4.544499969E1,5.044848066E1
3.204969562E0,-5.343599796E0,2.078879929E1,-4.510339737E1,4.995042231E1
3.214981728E0,-4.965399742E0,2.064239883E1,-4.564019775E1,5.033678054E1
3.224982705E0,-5.453399658E0,2.108160019E1,-4.521319962E1,5.018373097E1
3.234973021E0,-4.806799889E0,2.117919922E1,-4.555479813E1,5.046685484E1
3.244982014E0,-5.172800064E0,2.097179985E1,-4.575000000E1,5.059285275E1
3.254972208E0,-4.513999939E0,2.110599899E1,-4.555479813E1,5.040911645E1
