"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.655258765E0,3.955911845E-3,4.817545414E-3,-1.361846924E-3,6.380643336E-3
4.672253385E0,3.961373121E-3,4.869431257E-3,3.421783447E-3,7.149296450E-3
4.689235043E0,4.020631313E-3,1.438558102E-4,3.421783447E-3,5.281550209E-3
4.706231291E0,-9.019561112E-4,4.879683256E-3,-6.149291992E-3,7.901811534E-3
4.723240325E0,3.841686994E-3,5.225837231E-5,-6.149291992E-3,7.250867665E-3
4.740236733E0,8.679319173E-3,1.056492329E-5,-1.361846924E-3,8.785517627E-3
4.757219482E0,3.798574209E-3,4.848197103E-3,3.421783447E-3,7.045763488E-3
4.774228902E0,3.909159452E-3,1.224428415E-4,-6.150245667E-3,7.288486923E-3
4.791233592E0,-9.109191597E-4,9.636297822E-3,-6.148338318E-3,1.146691212E-2
4.808202800E0,-8.966960013E-4,4.800975323E-3,-1.361846924E-3,5.070311116E-3
4.825216890E0,3.895547241E-3,4.700556397E-3,3.424644470E-3,6.999907749E-3
4.842213451E0,4.005841911E-3,4.651337862E-3,-1.358032227E-3,6.286967858E-3
4.859209189E0,8.740212768E-3,4.703432322E-3,-6.144523621E-3,1.167342132E-2
4.876205436E0,3.960750997E-3,-1.239925623E-4,-1.358985901E-3,4.189244000E-3
4.893201134E0,-8.107125759E-4,-1.148283482E-4,3.426551819E-3,3.523023956E-3
4.910193861E0,3.983411938E-3,9.399399161E-3,-1.358032227E-3,1.029856916E-2
4.927180292E0,3.941055387E-3,-1.624375582E-4,-1.358032227E-3,4.171636975E-3
4.944181349E0,3.898691386E-3,-1.020729542E-4,-1.358985901E-3,4.130018897E-3
4.961173568E0,-9.235925972E-4,4.735559225E-3,3.424644470E-3,5.916648900E-3
4.978169581E0,-8.562579751E-4,4.736989737E-3,-1.360893250E-3,5.002427403E-3
4.995164841E0,8.766323328E-3,9.617730975E-3,-1.362800598E-3,1.308458632E-2
5.012160976E0,-7.887221873E-4,4.731833935E-3,3.425598145E-3,5.894663495E-3
5.029141769E0,4.005238414E-3,4.783868790E-3,-1.360893250E-3,6.385872359E-3
5.046166246E0,3.962542862E-3,-9.447336197E-5,-6.144523621E-3,7.312034031E-3
5.063161913E0,4.020795226E-3,9.520694613E-3,-1.360893250E-3,1.042412829E-2
5.080158871E0,3.876533359E-3,4.634588957E-3,-6.144523621E-3,8.617545834E-3
5.097141437E0,3.783281893E-3,9.413540363E-3,-1.358985901E-3,1.023595656E-2
5.114146727E0,-8.839853108E-4,-9.749829769E-5,-6.145477295E-3,6.209494917E-3
5.131137215E0,3.808349371E-3,-1.389384270E-4,-6.144523621E-3,7.230352643E-3
