"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.875486354E0,-1.392130852E-1,5.588015318E-1,1.552717209E0,1.656070701E0
2.892489212E0,7.113913298E-1,2.579804659E-1,2.425697327E0,2.540991748E0
2.909483292E0,1.015836716E0,-7.763612270E-2,3.367624283E0,3.518358269E0
2.926476692E0,7.726698518E-1,-1.496392488E-1,3.391066551E0,3.481198495E0
2.943470751E0,4.812651873E-1,-7.556200027E-2,1.963510513E0,2.023042098E0
2.960464128E0,6.526572704E-1,1.155397892E-1,6.798820496E-1,9.495001616E-1
2.977458411E0,1.131524324E0,1.436514854E-1,1.849660873E-1,1.155506599E0
2.994448444E0,1.677893758E0,1.852703094E-2,7.083225250E-2,1.679490376E0
3.011448738E0,2.016245842E0,-1.445869207E-1,4.455537796E-1,2.069944647E0
3.028439634E0,2.049025059E0,-4.044468403E-1,7.231483459E-1,2.210209146E0
3.045430124E0,1.771161914E0,-5.640168190E-1,6.916894913E-1,1.983321419E0
3.062425292E0,1.416351080E0,-5.560885668E-1,4.766607285E-1,1.594518838E0
3.079408386E0,1.247580409E0,-4.974091053E-1,-4.274845123E-2,1.343763419E0
3.096402029E0,1.225488424E0,-4.037040472E-1,-6.318101883E-1,1.436656866E0
3.113396292E0,1.119204998E0,-3.256559372E-1,-1.399445534E0,1.821296082E0
3.130389649E0,9.501403570E-1,-2.382545471E-1,-2.129393578E0,2.343896102E0
3.147396750E0,9.494749308E-1,-1.738927364E-1,-2.606714249E0,2.779694318E0
3.164393923E0,9.619200230E-1,-1.525363922E-1,-2.593091965E0,2.769960906E0
3.181359032E0,1.061505795E0,-1.368627548E-1,-2.250518322E0,2.492059125E0
3.198367698E0,1.193991303E0,-1.358788013E-1,-1.602975368E0,2.003399190E0
3.215363193E0,1.184074879E0,-1.773855686E-1,-9.183616638E-1,1.508935752E0
3.232366041E0,1.126526356E0,-2.113835812E-1,-3.602399826E-1,1.201464728E0
3.249355778E0,1.211370945E0,-2.317538261E-1,-3.110885620E-2,1.233733019E0
3.266351466E0,1.381951809E0,-2.377812862E-1,4.891920090E-1,1.485139577E0
3.283350295E0,1.331297517E0,-2.582355738E-1,9.119100571E-1,1.634202754E0
3.300342189E0,1.139705777E0,-2.581466436E-1,1.052544594E0,1.572710739E0
3.317322902E0,9.871764183E-1,-2.428920269E-1,9.894847870E-1,1.418659213E0
3.334329566E0,8.575782776E-1,-1.358957291E-1,9.475641251E-1,1.285218239E0
3.351318346E0,6.781526804E-1,7.884407043E-2,8.079662323E-1,1.057788674E0
3.368322567E0,6.566519141E-1,3.962833881E-1,3.868446350E-1,8.590000184E-1
3.385309975E0,9.190873504E-1,4.748294353E-1,-6.498146057E-2,1.036536126E0
3.402297819E0,1.414306045E0,3.284198046E-1,-2.046813965E-1,1.466293160E0
3.419298765E0,1.851182818E0,-1.983433962E-1,7.720613480E-1,2.015513993E0
3.436303690E0,1.660944939E0,-7.619557381E-1,1.913461685E0,2.645874195E0
3.453273884E0,8.318799734E-1,-9.807966352E-1,2.290195465E0,2.626591251E0
3.470283335E0,-1.366645396E-1,-7.439356446E-1,1.349709511E0,1.547201733E0
3.487241993E0,-3.125125766E-1,-4.408886433E-1,4.604272842E-1,7.099578793E-1
3.504268606E0,-2.426734567E-2,-1.208896637E-1,-1.773271561E-1,2.159817935E-1
3.521265371E0,4.019966125E-1,-3.189170361E-2,-7.480659485E-1,8.498358786E-1
3.538266491E0,6.727035642E-1,7.321536541E-2,-1.119073868E0,1.307752613E0
3.555239351E0,8.247830868E-1,1.161563396E-1,-1.360379219E0,1.595114747E0
3.572230643E0,7.870949507E-1,5.412614346E-2,-1.233056068E0,1.463856335E0
3.589215130E0,5.398752093E-1,6.320166588E-2,-8.259048462E-1,9.887256987E-1
3.606209964E0,2.202654928E-1,1.403053999E-1,-6.198940277E-1,6.726597194E-1
3.623214796E0,-4.442896694E-2,2.791588306E-1,-7.348842621E-1,7.873744119E-1
3.640206231E0,-2.261138111E-1,4.236178398E-1,-1.108142853E0,1.207708620E0
3.657193027E0,-2.800710499E-1,5.831893682E-1,-1.397689819E0,1.540157935E0
3.674192591E0,-2.828137279E-1,6.567624807E-1,-1.621231079E0,1.771922903E0
3.691188868E0,-2.711150050E-1,6.473330259E-1,-1.346229553E0,1.518182269E0
3.708192805E0,-3.282715380E-1,6.165723801E-1,-8.258342743E-1,1.081631153E0
3.725176215E0,-4.403062761E-1,5.487987995E-1,-2.200012207E-1,7.371908004E-1
3.742182837E0,-6.616404057E-1,5.945948362E-1,1.060810089E-1,8.958594902E-1
3.759185421E0,-7.069371343E-1,7.054291964E-1,2.072467804E-1,1.019971417E0
3.776170601E0,-5.439503193E-1,8.903130293E-1,2.610969543E-1,1.075504932E0
3.793164640E0,-2.996423244E-1,9.941480160E-1,2.599039078E-1,1.070357810E0
3.810157692E0,-2.224495560E-1,1.104650378E0,3.136215210E-1,1.169655813E0
3.827152199E0,-3.926792741E-1,1.298900843E0,2.877836227E-1,1.387140881E0
3.844146046E0,-3.194315135E-1,1.226902604E0,2.883510590E-1,1.300181843E0
3.861139902E0,1.925091743E-1,7.597242594E-1,9.583253860E-1,1.237993650E0
3.878130574E0,2.947849929E-1,1.163042784E-1,2.272040367E0,2.294034068E0
3.895129008E0,3.773352504E-2,-4.934957623E-1,3.285666466E0,3.322734719E0
3.912132375E0,-4.549019337E-1,-7.708550692E-1,3.322917938E0,3.441356844E0
3.929111603E0,-7.655856609E-1,-8.253750205E-1,2.423167229E0,2.671910318E0
3.946124706E0,-9.825271964E-1,-2.470667362E-1,6.275892258E-1,1.191750771E0
3.963083986E0,-1.023594379E0,4.361081123E-2,-8.263797760E-1,1.316263990E0
3.980089653E0,-1.078085661E0,4.435353279E-1,-1.636974335E0,2.009646051E0
3.997098289E0,-8.764522076E-1,6.020045280E-1,-1.801301003E0,2.091712988E0
4.014071323E0,-3.859250844E-1,4.402312040E-1,-1.529087067E0,1.637329821E0
4.031075229E0,-1.348059773E-1,1.645976305E-1,-6.382131577E-1,6.727414556E-1
4.048059217E0,-3.299844265E-2,8.957850933E-2,6.682109833E-2,1.165258157E-1
4.065053756E0,1.045042276E-1,2.603685856E-2,3.884906769E-1,4.031427261E-1
4.082046940E0,6.835645437E-2,-3.938674927E-4,3.506965637E-1,3.572965712E-1
4.099028539E0,-2.248190045E-1,1.376842260E-1,-1.377048492E-1,2.974275650E-1
4.116037136E0,-3.827136755E-1,2.410122156E-1,-7.883014679E-1,9.088321351E-1
4.133032558E0,-3.816922605E-1,3.686964512E-1,-1.200833321E0,1.312869650E0
4.150032793E0,-3.671257198E-1,4.343948364E-1,-1.501153946E0,1.605286061E0
4.167017035E0,-3.965317905E-1,4.523382187E-1,-1.645045280E0,1.751576804E0
4.184011339E0,-4.383296669E-1,4.014323950E-1,-1.499005318E0,1.612543893E0
4.201005257E0,-3.616365790E-1,3.128080368E-1,-1.104535103E0,1.203589497E0
4.217985573E0,-1.670535207E-1,2.808500528E-1,-5.516052246E-1,6.411333362E-1
4.234982196E0,-5.502408743E-2,2.286511660E-1,-1.557331085E-1,2.820670257E-1
4.251976246E0,1.148184538E-1,2.779471874E-1,1.457023621E-2,3.010817300E-1
4.268970040E0,2.695072293E-1,2.587714195E-1,3.419494629E-2,3.751880709E-1
4.285963420E0,2.967588305E-1,1.739010811E-1,1.023254395E-1,3.588563572E-1
4.302957804E0,2.880706191E-1,3.112053871E-2,2.207040787E-1,3.642299547E-1
4.319951121E0,2.233400345E-1,-1.351881027E-2,4.549179077E-1,5.069653164E-1
4.336946350E0,2.271652222E-3,2.913029194E-1,5.139236450E-1,5.907453463E-1
4.353939454E0,1.369085312E-1,1.816372871E-1,5.380544662E-1,5.841563649E-1
4.370934114E0,3.768020868E-1,-8.198857307E-2,9.689273834E-1,1.042843331E0
4.387939201E0,5.210187435E-1,-5.578309298E-1,1.753565788E0,1.912492837E0
4.404930931E0,2.426069975E-1,-1.089526653E0,2.367815018E0,2.617723141E0
4.421906650E0,-6.187109947E-1,-1.095985413E0,2.329195023E0,2.647477436E0
4.506905889E0,-5.000540614E-1,3.197753429E-1,-8.371181488E-1,1.026195464E0
4.523896388E0,-2.214163542E-1,1.554352045E-1,-2.800369263E-2,2.719733654E-1
4.540884018E0,-5.482745171E-2,-5.775475502E-2,9.749193192E-1,9.781663151E-1
4.557875240E0,-3.904938698E-2,-1.641798019E-1,1.669667244E0,1.678174177E0
4.574867205E0,-3.134237528E-1,-1.358174086E-1,1.196416855E0,1.244224300E0
4.591865506E0,-6.465107799E-1,-5.046832561E-2,1.133441925E-2,6.485766797E-1
4.608857368E0,-8.021756411E-1,8.652567863E-2,-9.355545044E-1,1.235408711E0
4.625863533E0,-8.586539030E-1,1.751668453E-1,-1.634707928E0,1.854788386E0
4.642861622E0,-9.674887061E-1,1.553270817E-1,-1.998629570E0,2.225911287E0
4.659852100E0,-1.041581392E0,4.812455177E-2,-1.958255291E0,2.218551679E0
4.676846088E0,-1.174970508E0,-9.756445885E-2,-1.400473595E0,1.830683153E0
4.693839335E0,-1.251195788E0,-2.489974499E-1,-5.886974335E-1,1.405010783E0
4.710832143E0,-1.304107308E0,-3.990033865E-1,1.147699356E-1,1.368602102E0
4.727828746E0,-1.346955180E0,-4.644224644E-1,4.455633163E-1,1.492817186E0
4.744793550E0,-1.315366983E0,-4.934233427E-1,4.942207336E-1,1.489265265E0
4.761799877E0,-1.131590843E0,-5.361225605E-1,6.036357880E-1,1.390072444E0
4.778805757E0,-9.538964033E-1,-5.957078934E-1,8.125295639E-1,1.387440281E0
4.795778374E0,-8.927727342E-1,-6.642985344E-1,1.067473412E0,1.542023081E0
4.812799990E0,-1.187080026E0,-4.465448856E-1,1.039730072E0,1.639999983E0
4.829777834E0,-1.482425332E0,-1.396040916E-1,6.653814316E-1,1.630891357E0
4.846804619E0,-1.220498323E0,5.267429352E-2,3.346433640E-1,1.266640012E0
4.863775364E0,-5.562478304E-1,4.452133179E-2,5.328063965E-1,7.715416087E-1
4.880775781E0,-2.618945837E-1,-2.205064297E-1,1.244581223E0,1.290811480E0
4.897766443E0,-3.791635036E-1,-7.112884521E-1,1.867466927E0,2.033993350E0
4.914759405E0,-9.219288230E-1,-1.089180350E0,2.095108986E0,2.534905965E0
4.931753871E0,-1.610962629E0,-1.140839338E0,1.508207321E0,2.484231131E0
4.948722774E0,-1.815570831E0,-9.970959425E-1,4.382610321E-1,2.117208184E0
4.965738624E0,-1.868204355E0,-6.954746246E-1,-2.825279236E-1,2.013378875E0
4.982728207E0,-1.761727095E0,-5.056352615E-1,-5.334110260E-1,1.908894103E0
4.999729885E0,-1.456302881E0,-5.472244024E-1,-2.795410156E-1,1.580637785E0
5.016720466E0,-1.059340477E0,-7.594544888E-1,1.032180786E-1,1.307527185E0
5.033714018E0,-7.612580061E-1,-1.014528513E0,3.648424149E-1,1.319807502E0
5.050697671E0,-5.689048767E-1,-1.242834210E0,6.887092590E-1,1.530558747E0
5.067692310E0,-4.949963689E-1,-1.391350865E0,1.063607216E0,1.819928280E0
5.084676228E0,-5.753192902E-1,-1.430079699E0,1.165970802E0,1.932772139E0
5.101676127E0,-5.935602784E-1,-1.343613625E0,7.806348801E-1,1.663430850E0
5.118677012E0,-5.774260759E-1,-1.183522701E0,8.920574188E-2,1.319888072E0
5.135680380E0,-4.738857746E-1,-9.608944654E-1,-5.806198120E-1,1.218607922E0
5.152674745E0,-4.537147880E-1,-7.675366402E-1,-1.207338333E0,1.500878227E0
5.169690868E0,-5.078400373E-1,-6.372666359E-1,-1.642949104E0,1.833928032E0
5.186661287E0,-7.147160172E-1,-5.763945580E-1,-1.680549622E0,1.915018721E0
5.203652966E0,-8.529441357E-1,-6.038558483E-1,-1.273523331E0,1.647427467E0
5.220653801E0,-8.355045319E-1,-7.059483528E-1,-7.177209854E-1,1.308263854E0
5.237636956E0,-7.518866658E-1,-7.843835354E-1,-2.790193558E-1,1.121803410E0
5.254643792E0,-6.608842611E-1,-8.197207451E-1,4.710769653E-2,1.054006282E0
5.271619053E0,-5.585920811E-1,-8.207225800E-1,2.273807526E-1,1.018485480E0
5.288622501E0,-5.915929079E-1,-7.780287266E-1,3.025236130E-1,1.023147792E0
5.305620540E0,-6.993193626E-1,-6.463823318E-1,2.777814865E-1,9.919779454E-1
5.322600510E0,-8.619709015E-1,-4.804368019E-1,2.834796906E-2,9.872269055E-1
5.339606908E0,-5.957393646E-1,-5.108036995E-1,-1.122159958E-1,7.927283518E-1
5.356601344E0,-3.860342503E-2,-8.127536774E-1,6.863927841E-1,1.064515767E0
5.373602729E0,2.010866404E-1,-1.274419427E0,1.888926506E0,2.287492963E0
