"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.375169886E2,6.503080485E1,2.547765642E1,1.504821918E1,3.252105114E1,5.316556931E0,1.032976837E2,6.327129641E-1,4.414380550E0,3.000000000E0,2.400000000E1
1.385170426E2,6.503079610E1,2.547777266E1,1.507973925E1,3.255255791E1,5.269288540E0,1.024487762E2,6.382936948E-1,4.414528847E0,3.000000000E0,2.400000000E1
1.395170246E2,6.503079020E1,2.547789073E1,1.509717494E1,3.256998123E1,5.461241245E0,1.013259583E2,6.440237016E-1,5.548942566E0,3.000000000E0,2.500000000E1
1.405172176E2,6.503078273E1,2.547801151E1,1.503148802E1,3.250428110E1,5.587753773E0,9.956861115E1,6.501152144E-1,5.549829483E0,3.000000000E0,2.500000000E1
1.415169996E2,6.503077556E1,2.547814017E1,1.510145767E1,3.257423699E1,5.589219570E0,9.986340332E1,6.560696612E-1,5.550711155E0,3.000000000E0,2.500000000E1
1.425171946E2,6.503076809E1,2.547826579E1,1.523483605E1,3.270760176E1,5.516597748E0,9.988075256E1,6.618607387E-1,4.415120602E0,3.000000000E0,2.400000000E1
1.435171536E2,6.503075637E1,2.547838599E1,1.519718854E1,3.266993952E1,5.579575539E0,1.031060257E2,6.676622700E-1,5.552485466E0,3.000000000E0,2.500000000E1
1.445189246E2,6.503074316E1,2.547850556E1,1.501851416E1,3.249124991E1,5.226770878E0,1.030566406E2,6.732603831E-1,4.415415764E0,3.000000000E0,2.500000000E1
1.455173436E2,6.503073015E1,2.547862078E1,1.450516527E1,3.197788625E1,5.233242035E0,1.042629700E2,6.787352522E-1,5.554257393E0,3.000000000E0,2.600000000E1
1.465174386E2,6.503072004E1,2.547873493E1,1.419173092E1,3.166443830E1,5.259817123E0,1.040382309E2,6.841867552E-1,5.555139065E0,3.000000000E0,2.600000000E1
1.475173696E2,6.503070948E1,2.547884835E1,1.412029461E1,3.159298829E1,5.174795151E0,1.020338516E2,6.897720339E-1,5.556025982E0,3.000000000E0,2.600000000E1
1.485170696E2,6.503070168E1,2.547896589E1,1.413291641E1,3.160559706E1,5.234644413E0,9.963365936E1,6.951384257E-1,5.556909561E0,3.000000000E0,2.600000000E1
1.495170936E2,6.503069637E1,2.547907953E1,1.400507007E1,3.147773896E1,5.326455593E0,9.980094910E1,7.007225378E-1,5.557787418E0,3.000000000E0,2.500000000E1
1.505171296E2,6.503068986E1,2.547919748E1,1.397595691E1,3.144861321E1,5.364057541E0,9.879331207E1,7.068075524E-1,4.416302681E0,3.000000000E0,2.400000000E1
1.515175026E2,6.503068134E1,2.547932554E1,1.426478168E1,3.173742378E1,5.181708336E0,9.996814728E1,7.118423871E-1,5.559558392E0,3.000000000E0,2.600000000E1
1.525175686E2,6.503067210E1,2.547943055E1,1.433386656E1,3.180649619E1,5.334668636E0,1.019994507E2,7.170785121E-1,5.560446262E0,3.000000000E0,2.600000000E1
1.535172256E2,6.503066385E1,2.547954037E1,1.452777764E1,3.200039474E1,5.377582550E0,1.038355255E2,7.228708897E-1,4.270699501E0,3.000000000E0,2.500000000E1
1.545172346E2,6.503065666E1,2.547966259E1,1.459777044E1,3.207037435E1,5.547385693E0,1.025329361E2,7.283184412E-1,4.416892052E0,3.000000000E0,2.500000000E1
